title,weeks_as_top_3
COLLABORATIONS,4
HOW TO CATCH AN ELF,4
CRAVE,4
I WISH YOU MORE,4
COUNTRY BORN,4
THE ONE AND ONLY BOB,4
THANK YOU FOR YOUR SERVITUDE,4
OUTLIERS,4
THE COAST-TO-COAST MURDERS,4
THE YEAR OF MAGICAL THINKING,3
THE HATE U GIVE,3
NIGHTWORK,3
YOU'LL BE THE DEATH OF ME,3
THE LAST CUENTISTA,3
LESSONS FROM THE EDGE,3
AMARI AND THE GREAT GAME,3
KILLING THE LEGENDS,3
WHY A DAUGHTER NEEDS A DAD,3
DREAMLAND,3
HOW TO CATCH A TURKEY,3
BLADE BREAKER,3
NO PLAN B,3
THE LINCOLN HIGHWAY,3
LITTLE LEADERS,3
SHADOWS REEL,3
PERCY JACKSON & THE OLYMPIANS,3
HALF BAKED HARVEST EVERY DAY,3
SEA OF TRANQUILITY,3
THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,3
PETE THE CAT: BIG EASTER ADVENTURE,3
BITTERSWEET,3
VIOLET MADE OF THORNS,3
THE PIGEON WILL RIDE THE ROLLER COASTER!,3
THE SONG OF ACHILLES,2
AIN'T BURNED ALL THE BRIGHT,2
HOW TO BE PERFECT,2
THE NINETIES,2
THE INVESTIGATOR,2
THE DAY THE CRAYONS QUIT,2
THE SIMPLY HAPPY COOKBOOK,2
TWO DEGREES,2
THE CHOICE,2
"DIRTBAG, MASSACHUSETTS",2
HOLDING THE LINE,2
LONG SHADOWS,2
KEEPER OF THE LOST CITIES,2
DIABLO MESA,2
RECESSIONAL,2
BEAUTIFUL,2
"I'D LIKE TO PLAY ALONE, PLEASE",2
AN IMMENSE WORLD,2
THE MAZE,2
BLOODMARKED,2
FIVE SURVIVE,2
SOMETHING TO HIDE,2
COMEDY COMEDY COMEDY DRAMA,2
THE MATCH,2
VINCE FLYNN: OATH OF LOYALTY,2
WHAT IF? 2,2
GOOD INSIDE,2
THE MIDNIGHT CHILDREN,2
THE PHILOSOPHY OF MODERN SONG,2
SO HELP ME GOD,2
FIREKEEPER'S DAUGHTER,2
THE RECOVERY AGENT,2
RIVER,2
CITY ON FIRE,2
THE OFFICE BFFS,2
MEANT TO BE,2
GRUMPY MONKEY,2
TANQUERAY,2
JUST MERCY,2
RIGHTEOUS PREY,2
LESSONS IN CHEMISTRY,2
HERE'S TO US,2
THE BETRAYAL OF ANNE FRANK,2
A SACRED OATH,2
HERE'S THE DEAL,2
THE SUBTLE ART OF NOT GIVING A F*CK,2
LIGHTLARK,2
THE INK BLACK HEART,2
DESPERATION IN DEATH,2
GOING ROGUE,2
ENOUGH ALREADY,2
IN LOVE,2
THE SUMMER PLACE,2
WHY WE DID IT,2
THIS IS YOUR MIND ON PLANTS,2
"DIANA, WILLIAM, AND HARRY",2
CARRIE SOTO IS BACK,2
THE DIVIDER,2
LIGHTER,2
BEYOND THE WAND,2
THE 1619 PROJECT: BORN ON THE WATER,2
ANTIRACIST BABY,2
A MAGIC STEEPED IN POISON,2
PANDORA'S JAR,2
THE PALACE PAPERS,2
STARRY MESSENGER,2
RADIO'S GREATEST OF ALL TIME,2
DESERT STAR,2
A WORLD OF CURIOSITIES,2
TO PARADISE,1
THE PIONEER WOMAN COOKS--SUPER EASY!,1
NORTHWIND,1
JUST HELP!,1
IN MY HEART,1
THE ABCS OF BLACK HISTORY,1
ONE ITALIAN SUMMER,1
THE VISCOUNT WHO LOVED ME,1
THE DIAMOND EYE,1
AGAINST ALL ODDS,1
THIS TIME TOMORROW,1
AMERICAN ROYALS,1
"TOMORROW, AND TOMORROW, AND TOMORROW",1
THE IT GIRL,1
SHATTERED,1
THESE TWISTED BONDS,1
THE FAMILY REMAINS,1
OVERKILL,1
THE BUTCHER AND THE WREN,1
HOME IS WHERE THE EGGS ARE,1
THE LOVE PRESCRIPTION,1
BUSY BETTY,1
I WAS BORN FOR THIS,1
"THE RISE OF THE DRAGON: AN ILLUSTRATED HISTORY OF THE TARGARYEN DYNASTY, VOL. ONE",1
WARRIORS: A STARLESS CLAN: SKY,1
THE COMFORTABLE KITCHEN,1
OUT OF MY HEART,1
THE LAST THING HE TOLD ME,1
WHY NOT YOU?,1
TROUBLEMAKER,1
RED NOTICE,1
THE FIBER FUELED COOKBOOK,1
GROUND ZERO,1
STAR WARS: PADAWAN,1
HEAT 2,1
THE SUNBEARER TRIALS,1
THE BULLET THAT MISSED,1
DISCIPLINE IS DESTINY,1
5 MORE SLEEPS 'TIL CHRISTMAS,1
THE LOVE HYPOTHESIS,1
THE ICE CREAM MACHINE,1
NEW FROM HERE,1
NOWHERE FOR VERY LONG,1
THE WHOLE BODY RESET,1
WHAT HAPPENED TO THE BENNETTS,1
GOOD EATS 4: THE FINAL YEARS,1
DRAGON MASTERS,1
RISING TROUBLEMAKER,1
HORSE,1
SUSPECTS,1
OTHER BIRDS,1
DINNER IN ONE,1
FEED THESE PEOPLE,1
A THOUSAND HEARTBEATS,1
BLACK CAKE,1
"HOOK, LINE, AND SINKER",1
ALLOW ME TO RETORT,1
THE SUPERPOWER SISTERHOOD,1
UNMASKED,1
THE MARVELLERS,1
THE BIG LIE,1
SOLITO,1
THE RETURN OF THE GODS,1
THE BALLAD OF NEVER AFTER,1
UGLY LOVE,1
SOMEBODY FEED PHIL THE BOOK,1
AN ELEPHANT & PIGGIE BIGGIE! VOL. 5,1
THE STORIES WE TELL,1
SMITTEN KITCHEN KEEPERS,1
WISH YOU WERE HERE,1
THE ATLAS SIX,1
