publisher,points,quarter_start
Morrow,43,2023-04-01
Dial,38,2023-04-01
HarperAudio,36,2023-04-01
Margaret K. McElderry,33,2023-04-01
Disney Hyperion,32,2023-04-01
VIZ Media,31,2023-04-01
Harper,30,2023-04-01
Marysue Rucci,29,2023-04-01
Ballantine,28,2023-04-01
Putnam,28,2023-04-01
Holt,27,2023-04-01
Clarion,26,2023-04-01
St. Martin's,25,2023-04-01
Milkweed Editions,24,2023-04-01
Dey Street,20,2023-04-01
HarperOne,20,2023-04-01
Philomel,17,2023-04-01
Penguin Audio,17,2023-04-01
Workman,17,2023-04-01
Compendium,17,2023-04-01
Dell,16,2023-04-01
Pocket,16,2023-04-01
Recorded Books,16,2023-04-01
Washington Square/Atria,16,2023-04-01
Balzer + Bray,16,2023-04-01
Grove,16,2023-04-01
Broadside,15,2023-04-01
Red Tower,15,2023-04-01
HarperFestival,14,2023-04-01
Chronicle,13,2023-04-01
MIRA,12,2023-04-01
Sourcebooks Wonderland,11,2023-04-01
Wednesday,10,2023-04-01
Atria/Emily Bestler,10,2023-04-01
Quill Tree,10,2023-04-01
Zebra,10,2023-04-01
Feiwel & Friends,10,2023-04-01
Flatiron,10,2023-04-01
Scribner,9,2023-04-01
Dutton,9,2023-04-01
Grosset & Dunlap,8,2023-04-01
Canary Street,7,2023-04-01
Simon Element,7,2023-04-01
"Knopf, McSweeney's",7,2023-04-01
Avon,7,2023-04-01
"Farrar, Straus & Giroux",6,2023-04-01
Wheat Penny,5,2023-04-01
Entangled Teen,5,2023-04-01
Harper Horizon,5,2023-04-01
Disney,5,2023-04-01
Mariner,4,2023-04-01
Macmillan Audio,4,2023-04-01
Hachette Audio,4,2023-04-01
Forever,4,2023-04-01
Atria/One Signal,4,2023-04-01
Clarkson Potter,3,2023-04-01
World of Eric Carle,3,2023-04-01
"Little, Brown Spark",2,2023-04-01
Tor,2,2023-04-01
Atheneum/Caitlyn Dlouhy,2,2023-04-01
Seven Seas Entertainment,2,2023-04-01
Abrams Image,2,2023-04-01
Rodale,1,2023-04-01
Hachette Go,1,2023-04-01
Hogarth,1,2023-04-01
Avid Reader,1,2023-04-01
Atheneum,1,2023-04-01
Riverhead,0,2023-04-01
Lioncrest,0,2023-04-01
Tyndale Audio,0,2023-04-01
Picador,0,2023-04-01
Liberatio Protocol,0,2023-04-01
HQN,0,2023-04-01
Bloomsbury,0,2023-04-01
Anchor,0,2023-04-01
Hachette,0,2023-04-01
Hay House,0,2023-04-01
Penguin Workshop,0,2023-04-01
Gallery,0,2023-04-01
Back Bay,0,2023-04-01
One World,0,2023-04-01
First Second,0,2023-04-01
Yearling,0,2023-04-01
Roaring Brook,0,2023-04-01
Disney Lucasfilm,0,2023-04-01
Pinnacle,0,2023-04-01
Ten Speed,0,2023-04-01
Twelve,0,2023-04-01
Park Row,0,2023-04-01
Celadon,0,2023-04-01
Disney-Hyperion,0,2023-04-01
Harper Perennial,0,2023-04-01
Bantam,0,2023-04-01
Orbit,0,2023-04-01
FaithWords,0,2023-04-01
Brilliance Audio,0,2023-04-01
Audible Studios,0,2023-04-01
Silhouette,0,2023-04-01
Norton,0,2023-04-01
Metropolitan,0,2023-04-01
Frontline,0,2023-04-01
IDW,0,2023-04-01
Harlequin,0,2023-04-01
Gallery/Saga,0,2023-04-01
DK,0,2023-04-01
Algonquin,0,2023-04-01
Bloom,0,2023-04-01
Tyndale Momentum,0,2023-04-01
HarperTeen,0,2023-04-01
Hyperion Avenue,0,2023-04-01
Kokila,0,2023-04-01
Alpha,0,2023-04-01
Blackstone,0,2023-04-01
Basic,0,2023-04-01
Orchard,0,2023-04-01
Simon Spotlight,0,2023-04-01
Viking,0,2023-04-01
Atlantic Monthly,0,2023-04-01
Katherine Tegen,0,2023-04-01
Nancy Paulsen,0,2023-04-01
Greenwillow,0,2023-04-01
Tundra,0,2023-04-01
Broadway,0,2023-04-01
Balance,0,2023-04-01
The Open Field,0,2023-04-01
Washington Square,0,2023-04-01
Pamela Dorman,0,2023-04-01
Ecco,0,2023-04-01
Harper Select,0,2023-04-01
St. Martin's Griffin,0,2023-04-01
Countryman,0,2023-04-01
Union Square & Co,0,2023-04-01
Andscape,0,2023-04-01
Forge,0,2023-04-01
Scholastic,363,2023-07-01
Vintage,180,2023-07-01
Doubleday,165,2023-07-01
Random House Audio,136,2023-07-01
Avery,128,2023-07-01
Grand Central,124,2023-07-01
Simon & Schuster,123,2023-07-01
Atria,118,2023-07-01
Red Tower,114,2023-07-01
Harmony,103,2023-07-01
Sourcebooks Fire,101,2023-07-01
Delacorte,99,2023-07-01
Penguin Press,99,2023-07-01
"Little, Brown",93,2023-07-01
Recorded Books,74,2023-07-01
Penguin,74,2023-07-01
Harper,71,2023-07-01
Disney Hyperion,61,2023-07-01
Clarion,61,2023-07-01
Simon & Schuster Audio,60,2023-07-01
Dell,60,2023-07-01
Random House,58,2023-07-01
Knopf,56,2023-07-01
Philomel,53,2023-07-01
Berkley,44,2023-07-01
Ember,43,2023-07-01
Wednesday,39,2023-07-01
Workman,38,2023-07-01
HarperAudio,37,2023-07-01
Blackstone Audio,36,2023-07-01
Pocket,36,2023-07-01
Atheneum,33,2023-07-01
DK,32,2023-07-01
Dial,31,2023-07-01
Macmillan Audio,30,2023-07-01
Square Fish,29,2023-07-01
Flatiron,28,2023-07-01
Amulet,26,2023-07-01
St. Martin's,24,2023-07-01
Avid Reader,22,2023-07-01
Inklore,20,2023-07-01
VIZ Media,20,2023-07-01
Morrow,19,2023-07-01
Hyperion,19,2023-07-01
Sourcebooks Wonderland,18,2023-07-01
Zebra,16,2023-07-01
HarperAlley,15,2023-07-01
Holt,15,2023-07-01
Feiwel & Friends,14,2023-07-01
Milkweed Editions,14,2023-07-01
HarperOne,12,2023-07-01
Scribner,10,2023-07-01
Dutton,9,2023-07-01
Sourcebooks Jabberwocky,9,2023-07-01
Bloom,9,2023-07-01
Atheneum/Caitlyn Dlouhy,8,2023-07-01
Penguin Audio,8,2023-07-01
"Farrar, Straus & Giroux",8,2023-07-01
Lioncrest,8,2023-07-01
St. Martin's Griffin,7,2023-07-01
Atria/Emily Bestler,7,2023-07-01
Quill Tree,7,2023-07-01
Del Rey,7,2023-07-01
Broadside,6,2023-07-01
Grove,6,2023-07-01
Ballantine,6,2023-07-01
Liveright,6,2023-07-01
Razorbill,6,2023-07-01
Union Square Kids,5,2023-07-01
Candlewick,5,2023-07-01
Skyhorse,5,2023-07-01
Random House Studio,5,2023-07-01
Margaret K. McElderry,5,2023-07-01
One World,5,2023-07-01
Zebra/Kensington,5,2023-07-01
Random House Graphic,4,2023-07-01
Harper Perennial,4,2023-07-01
Nancy Paulsen,4,2023-07-01
Greenwillow,4,2023-07-01
Hachette Audio,4,2023-07-01
Anchor,4,2023-07-01
Blackstone,4,2023-07-01
"Farrar, Straus and Giroux",4,2023-07-01
Crown,4,2023-07-01
Riverhead,4,2023-07-01
Grosset & Dunlap,3,2023-07-01
FrontLine,3,2023-07-01
Poisoned Pen,3,2023-07-01
Simon Spotlight,3,2023-07-01
Union Square & Co,2,2023-07-01
Gallery/Scout,2,2023-07-01
Washington Square/Atria,2,2023-07-01
HarperCollins,1,2023-07-01
Disney-Hyperion,1,2023-07-01
Disney,1,2023-07-01
Peachtree Teen,1,2023-07-01
Abrams,1,2023-07-01
Rodale,1,2023-07-01
Ecco,0,2023-07-01
Chronicle,0,2023-07-01
Forefront,0,2023-07-01
Pamela Dorman,0,2023-07-01
HarperCollins Leadership,0,2023-07-01
Celadon,0,2023-07-01
FaithWords,0,2023-07-01
Threshold Editions,0,2023-07-01
Tor,0,2023-07-01
Thomas Nelson,0,2023-07-01
Putnam,0,2023-07-01
Puffin,0,2023-07-01
Griffin,0,2023-07-01
Broadway,0,2023-07-01
Sourcebooks Casablanca,0,2023-07-01
Viking,0,2023-07-01
Katherine Tegen,0,2023-07-01
Minotaur,0,2023-07-01
"Little, Brown Spark",0,2023-07-01
Bloomsbury,0,2023-07-01
Christy Ottaviano,0,2023-07-01
Blue Box,0,2023-07-01
Hachette,0,2023-07-01
Harper Horizon,0,2023-07-01
Balzer + Bray,0,2023-07-01
All Seasons,0,2023-07-01
Hyperion Avenue,0,2023-07-01
Clarkson Potter,0,2023-07-01
Audible Studios,0,2023-07-01
MIRA,0,2023-07-01
Algonquin,0,2023-07-01
Norton,0,2023-07-01
Gallery/Saga,0,2023-07-01
"Back Bay/Little, Brown",0,2023-07-01
IDW,0,2023-07-01
Silhouette,0,2023-07-01
Harper Wave,0,2023-07-01
Back Bay,0,2023-07-01
Gallery,0,2023-07-01
Pinnacle,0,2023-07-01
Yearling,0,2023-07-01
Marysue Rucci,0,2023-07-01
Pantheon,0,2023-07-01
Random House Worlds,0,2023-07-01
Hogarth,0,2023-07-01
Mariner,0,2023-07-01
Picador,0,2023-07-01
Sourcebooks Explore,0,2023-07-01
Canary Street,0,2023-07-01
Portfolio,0,2023-07-01
Harper Voyager,0,2023-07-01
National Geographic,0,2023-07-01
Scholastic,368,2023-10-01
Red Tower,170,2023-10-01
Simon & Schuster,155,2023-10-01
Simon & Schuster Audio,152,2023-10-01
Doubleday,134,2023-10-01
Vintage,130,2023-10-01
Viking,116,2023-10-01
Avery,105,2023-10-01
Atria,90,2023-10-01
Amulet,86,2023-10-01
Gallery,84,2023-10-01
Grand Central,81,2023-10-01
Clarion,81,2023-10-01
Random House Audio,79,2023-10-01
Wednesday,77,2023-10-01
Recorded Books,76,2023-10-01
Bloom,76,2023-10-01
Sourcebooks Fire,73,2023-10-01
Penguin Press,69,2023-10-01
Scribner,68,2023-10-01
Square Fish,65,2023-10-01
Penguin,65,2023-10-01
Sourcebooks Jabberwocky,63,2023-10-01
Dell,61,2023-10-01
Knopf,58,2023-10-01
HarperAudio,54,2023-10-01
Union Square Kids,50,2023-10-01
"Little, Brown",49,2023-10-01
Flatiron,49,2023-10-01
Ember,42,2023-10-01
VIZ Media,40,2023-10-01
Delacorte,40,2023-10-01
Putnam,40,2023-10-01
Portfolio,37,2023-10-01
Harper,32,2023-10-01
Morrow,32,2023-10-01
Disney-Hyperion,31,2023-10-01
Norton,31,2023-10-01
Sourcebooks Wonderland,29,2023-10-01
Macmillan Audio,25,2023-10-01
Random House,25,2023-10-01
Threshold Editions,25,2023-10-01
Margaret K. McElderry,25,2023-10-01
Crown,24,2023-10-01
Andrews McMeel,23,2023-10-01
St. Martin's,23,2023-10-01
Disney Hyperion,21,2023-10-01
Dey Street,21,2023-10-01
Berkley,20,2023-10-01
HarperCollins,20,2023-10-01
Riverhead,19,2023-10-01
Metropolitan,19,2023-10-01
Washington Square/Atria,17,2023-10-01
Sourcebooks Explore,16,2023-10-01
Hachette Audio,15,2023-10-01
Clarkson Potter,15,2023-10-01
Penguin Audio,15,2023-10-01
Milkweed Editions,14,2023-10-01
Greenwillow,14,2023-10-01
HarperTeen,13,2023-10-01
Minotaur,12,2023-10-01
Dial,11,2023-10-01
Random House Studio,10,2023-10-01
Bloomsbury,10,2023-10-01
First Second,10,2023-10-01
Celadon,10,2023-10-01
Nancy Paulsen,10,2023-10-01
Mulholland,9,2023-10-01
Atria/Emily Bestler,8,2023-10-01
Inklore,8,2023-10-01
Yearling,8,2023-10-01
Pamela Dorman,8,2023-10-01
Harmony,7,2023-10-01
Free Press,7,2023-10-01
DK,7,2023-10-01
Chronicle,7,2023-10-01
Tor,6,2023-10-01
Ten Speed,5,2023-10-01
Orbit,5,2023-10-01
MIRA,5,2023-10-01
Algonquin,5,2023-10-01
Harper Wave,5,2023-10-01
Disney,5,2023-10-01
Atheneum,5,2023-10-01
Anchor,4,2023-10-01
Pocket,4,2023-10-01
Audible Studios,4,2023-10-01
Candlewick Press,4,2023-10-01
Holt,3,2023-10-01
Harper Celebrate,3,2023-10-01
Peachtree Teen,3,2023-10-01
National Geographic,2,2023-10-01
Mariner,2,2023-10-01
Blue Box,2,2023-10-01
Tordotcom,2,2023-10-01
Del Rey,2,2023-10-01
Harper Perennial,2,2023-10-01
Philomel,2,2023-10-01
Abrams,2,2023-10-01
HarperOne,2,2023-10-01
Feiwel & Friends,2,2023-10-01
Hachette,1,2023-10-01
Seven Seas Entertainment,1,2023-10-01
"Farrar, Straus & Giroux",1,2023-10-01
Harper Horizon,1,2023-10-01
Dutton,1,2023-10-01
Hogarth,0,2023-10-01
Picador,0,2023-10-01
Rodale,0,2023-10-01
Lioncrest,0,2023-10-01
Harper Voyager,0,2023-10-01
Disney Manga,0,2023-10-01
Ace,0,2023-10-01
Regnery,0,2023-10-01
Canary Street,0,2023-10-01
Stepping Stone/Random House,0,2023-10-01
S&S/ Marysue Rucci,0,2023-10-01
"Little, Brown Spark",0,2023-10-01
Roc Lit 101,0,2023-10-01
Sentinel,0,2023-10-01
Entangled Teen,0,2023-10-01
Poisoned Pen,0,2023-10-01
One World,0,2023-10-01
That's What She Said,0,2023-10-01
Avid Reader,0,2023-10-01
Quill Tree,0,2023-10-01
Back Bay,0,2023-10-01
Simon Element,0,2023-10-01
Tor Teen,0,2023-10-01
Pinnacle,0,2023-10-01
Roaring Brook,0,2023-10-01
Harvest,0,2023-10-01
Atheneum/Caitlyn Dlouhy,0,2023-10-01
Thomas Nelson,0,2023-10-01
FrontLine,0,2023-10-01
Bramble,0,2023-10-01
Atria/One Signal,0,2023-10-01
IDW,0,2023-10-01
Silhouette,0,2023-10-01
Alcove,0,2023-10-01
Avon,0,2023-10-01
"Farrar, Straus and Giroux",0,2023-10-01
Insight Editions,0,2023-10-01
Workman,0,2023-10-01
Balzer + Bray,0,2023-10-01
Basic,0,2023-10-01
National Geographic Kids,0,2023-10-01
Aladdin,0,2023-10-01
Grove,0,2023-10-01
Ballantine,0,2023-10-01
Razorbill,0,2023-10-01
Zebra,0,2023-10-01
WaterBrook,0,2023-10-01
Liveright,0,2023-10-01
Ecco,0,2023-10-01
DAW,0,2023-10-01
Harper Select,0,2023-10-01
St. Martin's Griffin,0,2023-10-01
Candlewick,0,2023-10-01
The Open Field,0,2023-10-01
Broadway,0,2023-10-01
